id , phrase
822  , ROBIN HOOD
823  , ROBIN HOOD & FRIAR TUCK
824  , ROBINSON CRUSOE
825  , ROCKET RACCOON
826  , ROCKY & ADRIAN BALBOA
827  , ROCKY & BULLWINKLE
828  , ROCKY AND ADRIAN BALBOA
829  , ROCKY AND BULLWINKLE
830  , ROCKY BALBOA
831  , RODERIGO & IAGO
832  , ROGER MURTAUGH
833  , ROGER RABBIT
834  , ROMAN GODDESS
835  , ROMAN GODDESS VENUS
836  , ROMEO AND JULIET
837  , ROMULUS AND REMUS
838  , RON BURGUNDY & BRICK TAMLAND
839  , RONALD MCDONALD
840  , ROSEANNE CONNER
841  , RULER OF THE SEA
842  , SABRETOOTH
843  , SABRINA THE TEENAGE WITCH
844  , SAILOR MOON
845  , SAM MALONE & COACH
846  , SAM MALONE & DIANE CHAMBERS
847  , SAMANTHA JONES
848  , SAMANTHA STEPHENS
849  , SAMWISE GANGEE
850  , SANDMAN
851  , SANSA STARK
852  , SANTA & HIS ELVES
853  , SANTA & MRS CLAUS
854  , SANTA CLAUS
855  , SANTA'S ELVES
856  , SARAH CONNER
857  , SARAH CONNOR
858  , SARUMAN
859  , SATURN & CRONUS
860  , SCARLET WITCH
861  , SCARLETT & RHETT
862  , SCARLETT O'HARA
863  , SCARY CLOWNS
864  , SCARY WEREWOLVES
865  , SCOOBY-DOO
866  , SCOOBY-DOO & SCRAPPY-DOO
867  , SCOOBY-DOO & SHAGGY BEING CHASED BY MONSTERS
868  , SEA SERPENTS
869  , SEA-MONSTER GODDESS
870  , SEBASTIAN DANGERFIELD
871  , SEBASTIAN SHAW
872  , SEINFELD'S FRIEND GEORGE COSTANZA
873  , SENECA CRANE
874  , SENSE OF EQUILIBRIUM
875  , SEVEN OF NINE
876  , SHAGGY & SCOOBY DOO
877  , SHAGGY & SCOOBY-DOO
